
picturesimilarity
11/6/2018	11:24:00 AM

Participant	Participant	Session	Block	Trial	Event	Participant		Correct	Error	Reaction
Group	Name	ID	Name	Name	Name	Response	Key	Response	Code	Time	Trial Answered
Main Group		01	ratings	Ratings, 223	Image 1 (7, destruction_conscience.jpg)			(any response)	NR	0	
Main Group		01	ratings	Ratings, 223	Image 2 (13, nEed_mUg.jpg)			(any response)	NR	0	
Main Group		01	ratings	Ratings, 223	rating scale	6	6	1; 2; 3; 4; 5; 6; 7	C	7527	
Main Group		01	ratings	Ratings, 555	Image 1 (16, prr0teSt_intEnd.jpg)			(any response)	NR	0	
Main Group		01	ratings	Ratings, 555	Image 2 (30, tape_drop.jpg)			(any response)	NR	0	
Main Group		01	ratings	Ratings, 555	rating scale	6	6	1; 2; 3; 4; 5; 6; 7	C	5776	
Main Group		01	ratings	Ratings, 14	Image 1 (1, abject_urge.jpg)			(any response)	NR	0	
Main Group		01	ratings	Ratings, 14	Image 2 (14, NIce_bOUnCY.jpg)			(any response)	NR	0	
Main Group		01	ratings	Ratings, 14	rating scale	5	5	1; 2; 3; 4; 5; 6; 7	C	7778	
Main Group		01	ratings	Ratings, 599	Image 1 (18, QueUe_dApPer.jpg)			(any response)	NR	0	
Main Group		01	ratings	Ratings, 599	Image 2 (4, boundary_head.jpg)			(any response)	NR	0	
Main Group		01	ratings	Ratings, 599	rating scale	6	6	1; 2; 3; 4; 5; 6; 7	C	5311	
Main Group		01	ratings	Ratings, 874	Image 1 (25, simplistic_renew.jpg)			(any response)	NR	0	
Main Group		01	ratings	Ratings, 874	Image 2 (34, TRANSpoRt_orgANIC.jpg)			(any response)	NR	0	
Main Group		01	ratings	Ratings, 874	rating scale	7	7	1; 2; 3; 4; 5; 6; 7	C	2201	
Main Group		01	ratings	Ratings, 632	Image 1 (19, requirement_circle.jpg)			(any response)	NR	0	
Main Group		01	ratings	Ratings, 632	Image 2 (2, afford_gutter.jpg)			(any response)	NR	0	
Main Group		01	ratings	Ratings, 632	rating scale	6	6	1; 2; 3; 4; 5; 6; 7	C	3710	
Main Group		01	ratings	Ratings, 56	Image 1 (2, afford_gutter.jpg)			(any response)	NR	0	
Main Group		01	ratings	Ratings, 56	Image 2 (21, sausage_selection.jpg)			(any response)	NR	0	
Main Group		01	ratings	Ratings, 56	rating scale	6	6	1; 2; 3; 4; 5; 6; 7	C	1997	
Main Group		01	ratings	Ratings, 379	Image 1 (11, hard-to-find_brush.jpg)			(any response)	NR	0	
Main Group		01	ratings	Ratings, 379	Image 2 (29, structure_mention.jpg)			(any response)	NR	0	
Main Group		01	ratings	Ratings, 379	rating scale	5	5	1; 2; 3; 4; 5; 6; 7	C	2680	
