22
picturesimilarity
11/13/2018	12:31:32 PM

Participant	Participant	Session	Block	Trial	Event	Participant		Correct	Error	Reaction
Group	Name	ID	Name	Name	Name	Response	Key	Response	Code	Time	Trial Answered
Main Group	22	22	ratings	Ratings, 612	Image 1 (48, thuNdEr_PeLViC.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 612	Image 2 (1, bLAND_bLACk.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 612	rating scale	3	3	1; 2; 3; 4; 5; 6; 7	C	19506	
Main Group	22	22	ratings	Ratings, 79	Image 1 (7, destruction_conscience.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 79	Image 2 (1, bLAND_bLACk.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 79	rating scale	5	5	1; 2; 3; 4; 5; 6; 7	C	13704	
Main Group	22	22	ratings	Ratings, 342	Image 1 (27, source_low.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 342	Image 2 (4, EaST_faMily.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 342	rating scale	2	2	1; 2; 3; 4; 5; 6; 7	C	8918	
Main Group	22	22	ratings	Ratings, 184	Image 1 (15, nose_mArrvELouS.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 184	Image 2 (2, bOunDaRY_sTRanGer.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 184	rating scale	3	3	1; 2; 3; 4; 5; 6; 7	C	4961	
Main Group	22	22	ratings	Ratings, 310	Image 1 (24, shareholder_air.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 310	Image 2 (11, rOSe_ENdUrabLE.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 310	rating scale	4	4	1; 2; 3; 4; 5; 6; 7	C	5148	
Main Group	22	22	ratings	Ratings, 393	Image 1 (31, technology_burst.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 393	Image 2 (3, Clay_EnDlesS.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 393	rating scale	3	3	1; 2; 3; 4; 5; 6; 7	C	6415	
Main Group	22	22	ratings	Ratings, 300	Image 1 (24, shareholder_air.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 300	Image 2 (1, bLAND_bLACk.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 300	rating scale	2	2	1; 2; 3; 4; 5; 6; 7	C	5250	
Main Group	22	22	ratings	Ratings, 257	Image 1 (20, riddle_grape.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 257	Image 2 (10, REqUEst_ReCoGNise.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 257	rating scale	6	6	1; 2; 3; 4; 5; 6; 7	C	5316	
Main Group	22	22	ratings	Ratings, 252	Image 1 (20, riddle_grape.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 252	Image 2 (5, fireCRaCker_bRIDgE.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 252	rating scale	3	3	1; 2; 3; 4; 5; 6; 7	C	3299	
Main Group	22	22	ratings	Ratings, 400	Image 1 (31, technology_burst.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 400	Image 2 (10, REqUEst_ReCoGNise.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 400	rating scale	5	5	1; 2; 3; 4; 5; 6; 7	C	3292	
Main Group	22	22	ratings	Ratings, 326	Image 1 (26, soap_marble.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 326	Image 2 (1, bLAND_bLACk.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 326	rating scale	5	5	1; 2; 3; 4; 5; 6; 7	C	3568	
Main Group	22	22	ratings	Ratings, 28	Image 1 (3, beach_fur.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 28	Image 2 (2, bOunDaRY_sTRanGer.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 28	rating scale	4	4	1; 2; 3; 4; 5; 6; 7	C	3575	
Main Group	22	22	ratings	Ratings, 407	Image 1 (32, technology_circle.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 407	Image 2 (4, EaST_faMily.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 407	rating scale	3	3	1; 2; 3; 4; 5; 6; 7	C	2392	
Main Group	22	22	ratings	Ratings, 560	Image 1 (44, PoiSOnouS_aBsUrdLy.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 560	Image 2 (1, bLAND_bLACk.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 560	rating scale	7	7	1; 2; 3; 4; 5; 6; 7	C	6361	
Main Group	22	22	ratings	Ratings, 414	Image 1 (32, technology_circle.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 414	Image 2 (11, rOSe_ENdUrabLE.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 414	rating scale	5	5	1; 2; 3; 4; 5; 6; 7	C	8594	
Main Group	22	22	ratings	Ratings, 23	Image 1 (2, afford_gutter.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 23	Image 2 (10, REqUEst_ReCoGNise.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 23	rating scale	4	4	1; 2; 3; 4; 5; 6; 7	C	2943	
Main Group	22	22	ratings	Ratings, 169	Image 1 (13, nEed_mUg.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 169	Image 2 (13, thuNdEr_PeLViC.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 169	rating scale	2	2	1; 2; 3; 4; 5; 6; 7	C	3751	
Main Group	22	22	ratings	Ratings, 290	Image 1 (23, serve_battlefield.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 290	Image 2 (4, EaST_faMily.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 290	rating scale	5	5	1; 2; 3; 4; 5; 6; 7	C	3659	
Main Group	22	22	ratings	Ratings, 521	Image 1 (41, fUTure_data.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 521	Image 2 (1, bLAND_bLACk.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 521	rating scale	7	7	1; 2; 3; 4; 5; 6; 7	C	3190	
Main Group	22	22	ratings	Ratings, 327	Image 1 (26, soap_marble.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 327	Image 2 (2, bOunDaRY_sTRanGer.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 327	rating scale	7	7	1; 2; 3; 4; 5; 6; 7	C	24486	
Main Group	22	22	ratings	Ratings, 385	Image 1 (30, tape_drop.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 385	Image 2 (8, PAinstAkINg_Thought.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 385	rating scale	3	3	1; 2; 3; 4; 5; 6; 7	C	3810	
Main Group	22	22	ratings	Ratings, 291	Image 1 (23, serve_battlefield.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 291	Image 2 (5, fireCRaCker_bRIDgE.jpg)			(any response)	NR	0	
