F19
cumby-harlan
12/4/2018	11:01:07 AM

Participant	Participant	Session	Block	Trial	Event	Participant		Pressed Or	Correct	Error	Reaction
Group	Name	ID	Name	Name	Name	Response	Key	Released	Response	Code	Time	Trial Answered	Categories	average
Main Group	F19		Training	Far, 17	Far (17, source_low.jpg)	Ok	 	Pressed	(based on tag)	E	5082		Harlan	undefined
Main Group	F19		Training	Far, 17	Far (17, source_low.jpg)	Ok	 	Pressed	(based on tag)	E	1513		Harlan	undefined
Main Group	F19		Training	Far, 17	Far (17, source_low.jpg)	Harlan	'	Pressed	(based on tag)	SC	3943		Harlan	undefined
Main Group	F19		Training	Far, 4	Far (4, GiraFFe_nEck.jpg)	Harlan	'	Pressed	(based on tag)	E	1030		Cumby	undefined
Main Group	F19		Training	Far, 15	Far (15, shareholder_air.jpg)	Harlan	'	Pressed	(based on tag)	C	905		Harlan	undefined
Main Group	F19		Training	Far, 10	Far (10, Clay_EnDlesS.jpg)	Cumby	a	Pressed	(based on tag)	E	1252		Harlan	undefined
Main Group	F19		Training	Far, 18	Far (18, wIld_ChEss.jpg)	Harlan	'	Pressed	(based on tag)	C	649		Harlan	undefined
Main Group	F19		Training	Far, 14	Far (14, sense_scandalous.jpg)	Cumby	a	Pressed	(based on tag)	E	940		Harlan	undefined
Main Group	F19		Training	Far, 12	Far (12, hard-to-find_brush.jpg)	Cumby	a	Pressed	(based on tag)	E	529		Harlan	undefined
Main Group	F19		Training	Far, 8	Far (8, REqUEst_ReCoGNise.jpg)	Cumby	a	Pressed	(based on tag)	C	891		Cumby	undefined
Main Group	F19		Training	Far, 2	Far (2, bOunDaRY_sTRanGer.jpg)	Cumby	a	Pressed	(based on tag)	C	1859		Cumby	undefined
Main Group	F19		Training	Far, 16	Far (16, soap_marble.jpg)	Harlan	'	Pressed	(based on tag)	C	696		Harlan	undefined
Main Group	F19		Training	Far, 13	Far (13, nEed_mUg.jpg)	Harlan	'	Pressed	(based on tag)	C	832		Harlan	undefined
Main Group	F19		Training	Far, 9	Far (9, structure_mention.jpg)	Cumby	a	Pressed	(based on tag)	C	667		Cumby	undefined
Main Group	F19		Training	Far, 3	Far (3, feature_dog.jpg)	Cumby	a	Pressed	(based on tag)	C	893		Cumby	undefined
Main Group	F19		Training	Far, 11	Far (11, GlOsSy_cEAsELEss.jpg)	Harlan	'	Pressed	(based on tag)	C	1817		Harlan	undefined
Main Group	F19		Training	Far, 1	Far (1, afford_gutter.jpg)	Cumby	a	Pressed	(based on tag)	C	1644		Cumby	undefined
Main Group	F19		Training	Far, 7	Far (7, QueUe_dApPer.jpg)	Cumby	a	Pressed	(based on tag)	C	980		Cumby	undefined
Main Group	F19		Training	Far, 5	Far (5, NIce_bOUnCY.jpg)	Cumby	a	Pressed	(based on tag)	C	1314		Cumby	undefined
Main Group	F19		Training	Far, 6	Far (6, prr0teSt_intEnd.jpg)	Harlan	'	Pressed	(based on tag)	E	1984		Cumby	undefined
Main Group	F19		Training	Far, 2	Far (2, bOunDaRY_sTRanGer.jpg)	Harlan	'	Pressed	(based on tag)	E	1867		Cumby	undefined
Main Group	F19		Training	Far, 16	Far (16, soap_marble.jpg)	Harlan	'	Pressed	(based on tag)	C	944		Harlan	undefined
Main Group	F19		Training	Far, 4	Far (4, GiraFFe_nEck.jpg)	Cumby	a	Pressed	(based on tag)	C	847		Cumby	undefined
Main Group	F19		Training	Far, 10	Far (10, Clay_EnDlesS.jpg)	Harlan	'	Pressed	(based on tag)	C	1104		Harlan	undefined
Main Group	F19		Training	Far, 5	Far (5, NIce_bOUnCY.jpg)	Cumby	a	Pressed	(based on tag)	C	796		Cumby	undefined
Main Group	F19		Training	Far, 15	Far (15, shareholder_air.jpg)	Cumby	a	Pressed	(based on tag)	E	1311		Harlan	undefined
Main Group	F19		Training	Far, 9	Far (9, structure_mention.jpg)	Cumby	a	Pressed	(based on tag)	C	1619		Cumby	undefined
Main Group	F19		Training	Far, 11	Far (11, GlOsSy_cEAsELEss.jpg)	Harlan	'	Pressed	(based on tag)	C	1142		Harlan	undefined
Main Group	F19		Training	Far, 6	Far (6, prr0teSt_intEnd.jpg)	Cumby	a	Pressed	(based on tag)	C	1515		Cumby	undefined
Main Group	F19		Training	Far, 3	Far (3, feature_dog.jpg)	Cumby	a	Pressed	(based on tag)	C	827		Cumby	undefined
Main Group	F19		Training	Far, 13	Far (13, nEed_mUg.jpg)	Harlan	'	Pressed	(based on tag)	C	648		Harlan	undefined
Main Group	F19		Training	Far, 14	Far (14, sense_scandalous.jpg)	Harlan	'	Pressed	(based on tag)	C	458		Harlan	undefined
