N-56
cumby-harlan
2/19/2019	2:37:39 PM

Participant	Participant	Session	Block	Trial	Event	Participant		Pressed Or	Correct	Error	Reaction
Group	Name	ID	Name	Name	Name	Response	Key	Released	Response	Code	Time	Trial Answered	Categories	average
Main Group	N-56	N-56	Training	Near, 11	Near (11, bLAND_bLACk.jpg)	Harlan	'	Pressed	(based on tag)	C	8761		Harlan	undefined
Main Group	N-56	N-56	Training	Near, 14	Near (14, destruction_conscience.jpg)	Cumby	a	Pressed	(based on tag)	E	1651		Harlan	undefined
Main Group	N-56	N-56	Training	Near, 18	Near (18, TAMe_ClASSY.jpg)	Cumby	a	Pressed	(based on tag)	E	2181		Harlan	undefined
Main Group	N-56	N-56	Training	Near, 16	Near (16, nose_mArrvELouS.jpg)	Harlan	'	Pressed	(based on tag)	C	495		Harlan	undefined
Main Group	N-56	N-56	Training	Near, 13	Near (13, crowd_eat.jpg)	Harlan	'	Pressed	(based on tag)	C	983		Harlan	undefined
Main Group	N-56	N-56	Training	Near, 9	Near (9, structure_mention.jpg)	Harlan	'	Pressed	(based on tag)	E	684		Cumby	undefined
Main Group	N-56	N-56	Training	Near, 8	Near (8, REqUEst_ReCoGNise.jpg)	Harlan	'	Pressed	(based on tag)	E	2842		Cumby	undefined
Main Group	N-56	N-56	Training	Near, 5	Near (5, NIce_bOUnCY.jpg)	Cumby	a	Pressed	(based on tag)	C	781		Cumby	undefined
Main Group	N-56	N-56	Training	Near, 1	Near (1, afford_gutter.jpg)	Cumby	a	Pressed	(based on tag)	C	817		Cumby	undefined
Main Group	N-56	N-56	Training	Near, 12	Near (12, cEmetErry_plAin.jpg)	Harlan	'	Pressed	(based on tag)	C	632		Harlan	undefined
Main Group	N-56	N-56	Training	Near, 2	Near (2, bOunDaRY_sTRanGer.jpg)	Cumby	a	Pressed	(based on tag)	C	585		Cumby	undefined
Main Group	N-56	N-56	Training	Near, 15	Near (15, friend_Koran.jpg)	Harlan	'	Pressed	(based on tag)	C	1255		Harlan	undefined
Main Group	N-56	N-56	Training	Near, 10	Near (10, beach_fur.jpg)	Harlan	'	Pressed	(based on tag)	C	643		Harlan	undefined
Main Group	N-56	N-56	Training	Near, 3	Near (3, feature_dog.jpg)	Cumby	a	Pressed	(based on tag)	C	728		Cumby	undefined
Main Group	N-56	N-56	Training	Near, 7	Near (7, QueUe_dApPer.jpg)	Cumby	a	Pressed	(based on tag)	C	668		Cumby	undefined
Main Group	N-56	N-56	Training	Near, 17	Near (17, serve_battlefield.jpg)	Harlan	'	Pressed	(based on tag)	C	939		Harlan	undefined
Main Group	N-56	N-56	Training	Near, 6	Near (6, prr0teSt_intEnd.jpg)	Harlan	'	Pressed	(based on tag)	E	1161		Cumby	undefined
Main Group	N-56	N-56	Training	Near, 4	Near (4, GiraFFe_nEck.jpg)	Cumby	a	Pressed	(based on tag)	C	815		Cumby	undefined
Main Group	N-56	N-56	Training	Near, 14	Near (14, destruction_conscience.jpg)	Cumby	a	Pressed	(based on tag)	E	880		Harlan	undefined
Main Group	N-56	N-56	Training	Near, 3	Near (3, feature_dog.jpg)	Cumby	a	Pressed	(based on tag)	C	871		Cumby	undefined
Main Group	N-56	N-56	Training	Near, 5	Near (5, NIce_bOUnCY.jpg)	Cumby	a	Pressed	(based on tag)	C	838		Cumby	undefined
Main Group	N-56	N-56	Training	Near, 9	Near (9, structure_mention.jpg)	Cumby	a	Pressed	(based on tag)	C	969		Cumby	undefined
Main Group	N-56	N-56	Training	Near, 1	Near (1, afford_gutter.jpg)	Cumby	a	Pressed	(based on tag)	C	646		Cumby	undefined
Main Group	N-56	N-56	Training	Near, 13	Near (13, crowd_eat.jpg)	Cumby	a	Pressed	(based on tag)	E	836		Harlan	undefined
Main Group	N-56	N-56	Training	Near, 11	Near (11, bLAND_bLACk.jpg)	Harlan	'	Pressed	(based on tag)	C	2123		Harlan	undefined
Main Group	N-56	N-56	Training	Near, 10	Near (10, beach_fur.jpg)	Harlan	'	Pressed	(based on tag)	C	7766		Harlan	undefined
Main Group	N-56	N-56	Training	Near, 18	Near (18, TAMe_ClASSY.jpg)	Cumby	a	Pressed	(based on tag)	E	1348		Harlan	undefined
Main Group	N-56	N-56	Training	Near, 15	Near (15, friend_Koran.jpg)	Harlan	'	Pressed	(based on tag)	C	1618		Harlan	undefined
Main Group	N-56	N-56	Training	Near, 8	Near (8, REqUEst_ReCoGNise.jpg)	Cumby	a	Pressed	(based on tag)	C	1116		Cumby	undefined
Main Group	N-56	N-56	Training	Near, 16	Near (16, nose_mArrvELouS.jpg)	Cumby	a	Pressed	(based on tag)	E	1024		Harlan	undefined
Main Group	N-56	N-56	Training	Near, 7	Near (7, QueUe_dApPer.jpg)	Cumby	a	Pressed	(based on tag)	C	689		Cumby	undefined
Main Group	N-56	N-56	Training	Near, 6	Near (6, prr0teSt_intEnd.jpg)	Harlan	'	Pressed	(based on tag)	E	710		Cumby	undefined
Main Group	N-56	N-56	Training	Near, 2	Near (2, bOunDaRY_sTRanGer.jpg)	Cumby	a	Pressed	(based on tag)	C	883		Cumby	undefined
Main Group	N-56	N-56	Training	Near, 12	Near (12, cEmetErry_plAin.jpg)	Harlan	'	Pressed	(based on tag)	C	799		Harlan	undefined
Main Group	N-56	N-56	Training	Near, 17	Near (17, serve_battlefield.jpg)	Harlan	'	Pressed	(based on tag)	C	1297		Harlan	undefined
Main Group	N-56	N-56	Training	Near, 4	Near (4, GiraFFe_nEck.jpg)	Cumby	a	Pressed	(based on tag)	C	760		Cumby	undefined
Main Group	N-56	N-56	Training	Near, 7	Near (7, QueUe_dApPer.jpg)	Cumby	a	Pressed	(based on tag)	C	939		Cumby	undefined
Main Group	N-56	N-56	Training	Near, 13	Near (13, crowd_eat.jpg)	Harlan	'	Pressed	(based on tag)	C	831		Harlan	undefined
Main Group	N-56	N-56	Training	Near, 3	Near (3, feature_dog.jpg)	Cumby	a	Pressed	(based on tag)	C	1606		Cumby	undefined
Main Group	N-56	N-56	Training	Near, 5	Near (5, NIce_bOUnCY.jpg)	Cumby	a	Pressed	(based on tag)	C	764		Cumby	undefined
Main Group	N-56	N-56	Training	Near, 2	Near (2, bOunDaRY_sTRanGer.jpg)	Cumby	a	Pressed	(based on tag)	C	937		Cumby	undefined
Main Group	N-56	N-56	Training	Near, 6	Near (6, prr0teSt_intEnd.jpg)	Cumby	a	Pressed	(based on tag)	C	1049		Cumby	undefined
Main Group	N-56	N-56	Training	Near, 11	Near (11, bLAND_bLACk.jpg)	Cumby	a	Pressed	(based on tag)	E	1486		Harlan	undefined
Main Group	N-56	N-56	Training	Near, 17	Near (17, serve_battlefield.jpg)	Cumby	a	Pressed	(based on tag)	E	737		Harlan	undefined
Main Group	N-56	N-56	Training	Near, 4	Near (4, GiraFFe_nEck.jpg)	Cumby	a	Pressed	(based on tag)	C	894		Cumby	undefined
Main Group	N-56	N-56	Training	Near, 18	Near (18, TAMe_ClASSY.jpg)	Harlan	'	Pressed	(based on tag)	C	719		Harlan	undefined
Main Group	N-56	N-56	Training	Near, 8	Near (8, REqUEst_ReCoGNise.jpg)	Cumby	a	Pressed	(based on tag)	C	714		Cumby	undefined
Main Group	N-56	N-56	Training	Near, 10	Near (10, beach_fur.jpg)	Harlan	'	Pressed	(based on tag)	C	610		Harlan	undefined
Main Group	N-56	N-56	Training	Near, 15	Near (15, friend_Koran.jpg)	Cumby	a	Pressed	(based on tag)	E	1105		Harlan	undefined
Main Group	N-56	N-56	Training	Near, 16	Near (16, nose_mArrvELouS.jpg)	Harlan	'	Pressed	(based on tag)	C	778		Harlan	undefined
Main Group	N-56	N-56	Training	Near, 12	Near (12, cEmetErry_plAin.jpg)	Harlan	'	Pressed	(based on tag)	C	559		Harlan	undefined
Main Group	N-56	N-56	Training	Near, 14	Near (14, destruction_conscience.jpg)	Cumby	a	Pressed	(based on tag)	E	633		Harlan	undefined
Main Group	N-56	N-56	Training	Near, 9	Near (9, structure_mention.jpg)	Cumby	a	Pressed	(based on tag)	C	879		Cumby	undefined
Main Group	N-56	N-56	Training	Near, 1	Near (1, afford_gutter.jpg)	Cumby	a	Pressed	(based on tag)	C	2105		Cumby	undefined
Main Group	N-56	N-56	Training	Near, 18	Near (18, TAMe_ClASSY.jpg)	Harlan	'	Pressed	(based on tag)	C	1410		Harlan	undefined
Main Group	N-56	N-56	Training	Near, 7	Near (7, QueUe_dApPer.jpg)	Cumby	a	Pressed	(based on tag)	C	525		Cumby	undefined
Main Group	N-56	N-56	Training	Near, 8	Near (8, REqUEst_ReCoGNise.jpg)	Cumby	a	Pressed	(based on tag)	C	866		Cumby	undefined
Main Group	N-56	N-56	Training	Near, 11	Near (11, bLAND_bLACk.jpg)	Harlan	'	Pressed	(based on tag)	C	6329		Harlan	undefined
Main Group	N-56	N-56	Training	Near, 16	Near (16, nose_mArrvELouS.jpg)	Cumby	a	Pressed	(based on tag)	E	1299		Harlan	undefined
Main Group	N-56	N-56	Training	Near, 15	Near (15, friend_Koran.jpg)	Cumby	a	Pressed	(based on tag)	E	1206		Harlan	undefined
Main Group	N-56	N-56	Training	Near, 2	Near (2, bOunDaRY_sTRanGer.jpg)	Cumby	a	Pressed	(based on tag)	C	842		Cumby	undefined
Main Group	N-56	N-56	Training	Near, 1	Near (1, afford_gutter.jpg)	Cumby	a	Pressed	(based on tag)	C	606		Cumby	undefined
Main Group	N-56	N-56	Training	Near, 12	Near (12, cEmetErry_plAin.jpg)	Harlan	'	Pressed	(based on tag)	C	1387		Harlan	undefined
Main Group	N-56	N-56	Training	Near, 14	Near (14, destruction_conscience.jpg)	Cumby	a	Pressed	(based on tag)	E	3389		Harlan	undefined
Main Group	N-56	N-56	Training	Near, 13	Near (13, crowd_eat.jpg)	Harlan	'	Pressed	(based on tag)	C	4751		Harlan	undefined
Main Group	N-56	N-56	Training	Near, 4	Near (4, GiraFFe_nEck.jpg)	Harlan	'	Pressed	(based on tag)	E	1638		Cumby	undefined
Main Group	N-56	N-56	Training	Near, 5	Near (5, NIce_bOUnCY.jpg)	Cumby	a	Pressed	(based on tag)	C	842		Cumby	undefined
Main Group	N-56	N-56	Training	Near, 3	Near (3, feature_dog.jpg)	Cumby	a	Pressed	(based on tag)	C	1033		Cumby	undefined
Main Group	N-56	N-56	Training	Near, 6	Near (6, prr0teSt_intEnd.jpg)	Cumby	a	Pressed	(based on tag)	C	1945		Cumby	undefined
Main Group	N-56	N-56	Training	Near, 9	Near (9, structure_mention.jpg)	Cumby	a	Pressed	(based on tag)	C	625		Cumby	undefined
Main Group	N-56	N-56	Training	Near, 17	Near (17, serve_battlefield.jpg)	Harlan	'	Pressed	(based on tag)	C	862		Harlan	undefined
Main Group	N-56	N-56	Training	Near, 10	Near (10, beach_fur.jpg)	Harlan	'	Pressed	(based on tag)	C	761		Harlan	undefined
Main Group	N-56	N-56	Training	Near, 18	Near (18, TAMe_ClASSY.jpg)	Cumby	a	Pressed	(based on tag)	E	1283		Harlan	undefined
Main Group	N-56	N-56	Training	Near, 13	Near (13, crowd_eat.jpg)	Harlan	'	Pressed	(based on tag)	C	1014		Harlan	undefined
Main Group	N-56	N-56	Training	Near, 11	Near (11, bLAND_bLACk.jpg)	Harlan	'	Pressed	(based on tag)	C	870		Harlan	undefined
Main Group	N-56	N-56	Training	Near, 8	Near (8, REqUEst_ReCoGNise.jpg)	Harlan	'	Pressed	(based on tag)	E	435		Cumby	undefined
Main Group	N-56	N-56	Training	Near, 6	Near (6, prr0teSt_intEnd.jpg)	Harlan	'	Pressed	(based on tag)	E	677		Cumby	undefined
Main Group	N-56	N-56	Training	Near, 9	Near (9, structure_mention.jpg)	Cumby	a	Pressed	(based on tag)	C	691		Cumby	undefined
Main Group	N-56	N-56	Training	Near, 5	Near (5, NIce_bOUnCY.jpg)	Cumby	a	Pressed	(based on tag)	C	822		Cumby	undefined
Main Group	N-56	N-56	Training	Near, 7	Near (7, QueUe_dApPer.jpg)	Harlan	'	Pressed	(based on tag)	E	963		Cumby	undefined
Main Group	N-56	N-56	Training	Near, 4	Near (4, GiraFFe_nEck.jpg)	Cumby	a	Pressed	(based on tag)	C	24388		Cumby	undefined
Main Group	N-56	N-56	Training	Near, 16	Near (16, nose_mArrvELouS.jpg)	Ok	 	Pressed	(based on tag)	E	39		Harlan	undefined
Main Group	N-56	N-56	Training	Near, 16	Near (16, nose_mArrvELouS.jpg)	Harlan	'	Pressed	(based on tag)	SC	2028		Harlan	undefined
Main Group	N-56	N-56	Training	Near, 15	Near (15, friend_Koran.jpg)	Harlan	'	Pressed	(based on tag)	C	23511		Harlan	undefined
Main Group	N-56	N-56	Training	Near, 2	Near (2, bOunDaRY_sTRanGer.jpg)	Cumby	a	Pressed	(based on tag)	C	1440		Cumby	undefined
Main Group	N-56	N-56	Training	Near, 12	Near (12, cEmetErry_plAin.jpg)	Harlan	'	Pressed	(based on tag)	C	713		Harlan	undefined
Main Group	N-56	N-56	Training	Near, 3	Near (3, feature_dog.jpg)	Cumby	a	Pressed	(based on tag)	C	1114		Cumby	undefined
Main Group	N-56	N-56	Training	Near, 17	Near (17, serve_battlefield.jpg)	Cumby	a	Pressed	(based on tag)	E	1203		Harlan	undefined
Main Group	N-56	N-56	Training	Near, 14	Near (14, destruction_conscience.jpg)	Cumby	a	Pressed	(based on tag)	E	1334		Harlan	undefined
Main Group	N-56	N-56	Training	Near, 1	Near (1, afford_gutter.jpg)	Cumby	a	Pressed	(based on tag)	C	729		Cumby	undefined
Main Group	N-56	N-56	Training	Near, 10	Near (10, beach_fur.jpg)	Harlan	'	Pressed	(based on tag)	C	735		Harlan	undefined
Main Group	N-56	N-56	Training	Near, 15	Near (15, friend_Koran.jpg)	Harlan	'	Pressed	(based on tag)	C	1102		Harlan	undefined
Main Group	N-56	N-56	Training	Near, 6	Near (6, prr0teSt_intEnd.jpg)	Harlan	'	Pressed	(based on tag)	E	1714		Cumby	undefined
Main Group	N-56	N-56	Training	Near, 10	Near (10, beach_fur.jpg)	Harlan	'	Pressed	(based on tag)	C	2090		Harlan	undefined
Main Group	N-56	N-56	Training	Near, 12	Near (12, cEmetErry_plAin.jpg)	Harlan	'	Pressed	(based on tag)	C	1929		Harlan	undefined
Main Group	N-56	N-56	Training	Near, 3	Near (3, feature_dog.jpg)	Cumby	a	Pressed	(based on tag)	C	1614		Cumby	undefined
Main Group	N-56	N-56	Training	Near, 9	Near (9, structure_mention.jpg)	Cumby	a	Pressed	(based on tag)	C	897		Cumby	undefined
Main Group	N-56	N-56	Training	Near, 1	Near (1, afford_gutter.jpg)	Cumby	a	Pressed	(based on tag)	C	927		Cumby	undefined
Main Group	N-56	N-56	Training	Near, 13	Near (13, crowd_eat.jpg)	Harlan	'	Pressed	(based on tag)	C	702		Harlan	undefined
Main Group	N-56	N-56	Training	Near, 14	Near (14, destruction_conscience.jpg)	Harlan	'	Pressed	(based on tag)	C	958		Harlan	undefined
Main Group	N-56	N-56	Training	Near, 4	Near (4, GiraFFe_nEck.jpg)	Cumby	a	Pressed	(based on tag)	C	778		Cumby	undefined
Main Group	N-56	N-56	Training	Near, 7	Near (7, QueUe_dApPer.jpg)	Cumby	a	Pressed	(based on tag)	C	1024		Cumby	undefined
Main Group	N-56	N-56	Training	Near, 16	Near (16, nose_mArrvELouS.jpg)	Cumby	a	Pressed	(based on tag)	E	1267		Harlan	undefined
Main Group	N-56	N-56	Training	Near, 18	Near (18, TAMe_ClASSY.jpg)	Harlan	'	Pressed	(based on tag)	C	2450		Harlan	undefined
